JOBID,PROJECT_NAME,JOB_NAME,TARGET_OBJECT_NAME
2815,RESERVATION,ODS_EDW.RES_NCL.165.Generate_File_Cabin_Availability,$G_FILE_NAME_DATE
2818,RESERVATION,ODS_EDW.RES_NCL.165.Load_FACT_Res_Payment,EDW_P.RES.DIM_INVOICE_ITEM_TYPE
2818,RESERVATION,ODS_EDW.RES_NCL.165.Load_FACT_Res_Payment,STG_P.RES_SUPP.INVOICE_ITEM_TYPE_SUPP
2828,RESERVATION,ODS_EDW.RES_NCL.165.Load_STG_Unbuilt_Voyage,STG_P.DSSTG.STG_FIN_UNBUILT_VOYAGE_INFO
2830,RESERVATION,ODS_EDW.RES_NCL.17.Load_CDC_Reactivated_Voyages,ODS_P_BUSINESS_SUPPORT.RES_SUPP.RETRIGGER_LOG_SUPP
2835,RESERVATION,ODS_EDW.RES_NCL.18.Load_CDC_NCL_DW_TRIGGER_LOG,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO_ARCHIVE
2835,RESERVATION,ODS_EDW.RES_NCL.18.Load_CDC_NCL_DW_TRIGGER_LOG,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2837,RESERVATION,ODS_EDW.RES_NCL.2.Load_CDC_VCS_Log_Rec,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2838,RESERVATION,ODS_EDW.RES_NCL.21.Load_CDC_Promo_Amenity,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2839,RESERVATION,ODS_EDW.RES_NCL.22.Load_CDC_Group_History_Header,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2840,RESERVATION,ODS_EDW.RES_NCL.25.Load_CDC_FS_Group,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2846,RESERVATION,ODS_EDW.RES_NCL.3.Load_CDC_Res_Guest,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2848,RESERVATION,ODS_EDW.RES_NCL.31.Load_CDC_RETRIGGER_LOG_SUPP,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2850,RESERVATION,ODS_EDW.RES_NCL.32.Load_CDC_Ship_Inventory_Alloc,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2857,RESERVATION,ODS_EDW.RES_NCL.33.Load_CDC_Amenity_Cost_Change,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2862,RESERVATION,ODS_EDW.RES_NCL.335.Load_CDC_Charges,STG_P.RES.STG_RES_CHARGE_DETAIL_INFO_UPD
2862,RESERVATION,ODS_EDW.RES_NCL.335.Load_CDC_Charges,STG_P.RES.STG_RES_CHARGE_DETAIL_INFO_DEL
2862,RESERVATION,ODS_EDW.RES_NCL.335.Load_CDC_Charges,STG_P.RES.STG_RES_CHARGE_SUBDETAIL_INFO_UPD
2862,RESERVATION,ODS_EDW.RES_NCL.335.Load_CDC_Charges,STG_P.RES.STG_RES_CHARGE_SUBDETAIL_INFO_DEL
